,sent,CODA
0,اوكي. هو يكلف خمسة وتمنين سنت للبريد العادي و تلاتة دولارات بالظبط زيادة للتسليم الخاص.,اوكي. هو يكلف خمسة وثمانين سنت للبريد العادي و ثلاثة دولارات بالظبط زيادة للتسليم الخاص.
1,انا تمام. بس ممكن تتصل ل صحبى؟,انا تمام. بس ممكن تتصل لي صحبى؟
2,القطر دا بقيف في ليك فورست، ول لا؟,القطر دا بقيف في ليك فورست، ولا لأ؟
3,واحد إلى نيويورك، من فضلك.,واحد لي نيويورك، من فضلك.
4,ممكن تضربو لي تصحوني  خمسة و نص بكرة الصباح؟,ممكن تضربوا لي تصحوني  خمسة و نص بكرة الصباح؟
5,هل في فرقة لايف ول دي جي؟,هل في فرقة لايف ولا دي جي؟
6,م قادر أعدل الصورة.,ما قادر اعدل الصورة.
7,لي؟ شكرا ليك كتير. اه، هل ممكن امشي فوق للقمة؟,ليه؟ شكرا ليك كثير. اه، هل ممكن امشي فوق للقمة؟
8,داك غالي. ول لا؟,داك غالي. ولا لا؟
9,م عندك دروس تجريبيه؟,ما عندك دروس تجريبيه؟
10,اديني شوية لحم الخنزير، لكن ما سميكه زي داك.,اديني شوية لحم خنزير، لكن ما سميك زي داك.
11,من فضلك اديني تقرير حادث.,من فضلك اديني تقرير الحادث.
12,مفروض اقعد هنا الليلة، ول لا؟ ممكن تساعدني اراجع غرفة فندق؟,مفروض اقعد هنا الليلة، ولا لا؟ ممكن تساعدني أراجع غرفة فندق؟
13,هل تحول العملات الأجنبية؟,هل بتحول العملات الأجنبية؟
14,ياتو المهم ليكم يا يابانيين، يوم رأس السنة ول يوم الكريسماس؟,ياتو المهم ليكم يا يابانيين، يوم راس السنة ولا يوم الكريسماس؟
15,هل في اي فترة معينة من الفن بتفضل؟,هل هناك اي فترة معينة من الفن بتفضل؟
16,أفضل ليك تركب قطر تمنية و نص.,افضل ليك تركب قطر ثمانية و نص.
17,لي ما تديها هدية؟,ليه ما تديها هدية؟
18,انت قلت انك مغادر إلى توكيو بكرة؟,انت قلت انك مغادر لي طوكيو بكرة؟
19,هو ما آخر موديل، ول لا؟,هو ما آخر موديل، ولا لأ؟
20,طرقاتنا شكلها بتتعارض مرات كتيرة. ول لا؟,طرقاتنا شكلها بتتعارض مرات كثيرة. ولا لأ؟
21,الاستايل متوفر في المقاسات تمنية وعشرين، واحد وتلاتين و خمسة وتلاتين سنتيمتر .,الاستايل متوفر في المقاسات ثمانية وعشرين، واحد وثلاثين و خمسة وثلاثين سنتيمتر .
22,عندنا غرفة مزدوجة بي حمام بي خمسة وتمنين دولار.,عندنا غرفة مزدوجة بي حمام بي خمسة وثمانين دولار.
23,كم التكلفة إلى الفندق سي؟,كم التكلفة لي الفندق سي؟
24,هل العربية دي بتمشي لي ادينبيره؟,هل العربية دي بتمشي الى ادينبيره؟
25,"هو قال ""خلينا نحتفل"" و اخدني للبار. هو قال إن ماشى يعمل مكالمة هاتفية و غادر و نهائي ما جا راجع و أنا علقت مع فاتورة كبيرة.","هو قال ""خلينا نحتفل"" و اخدني للبار. هو قال انو ماشي يعمل مكالمة هاتفية و غادر و نهائي ما جا راجع و انا علقت مع فاتورة كبيرة."
26,طيب، غرفتك تسعة صفر تمنية، يا انسة. دا مفتاحك.,طيب، غرفتك تسعة صفر ثمانية، يا انسة. ده مفتاحك.
27,هل دا ف الحد بتاع اعفاء الضرائب؟,هل ده في الحد بتاع اعفاء الضرائب؟
28,داير طربيزة في الكافتيريا الرئيسية ول غرفة خاصة، سيدي؟,داير طربيزة في الكافتيريا الرئيسية ولا غرفة خاصة، سيدي؟
29,رحلة رقم اتنين صفر تمنية، إلى طوكيو.,رحلة رقم اثنين صفر ثمانية، الى طوكيو.
30,داير اعرف اذا ممكن لي الطقم دا من الصحون اتشحن لطوكيو.,داير اعرف اذا ممكن للطقم ده من الصحون اتشحن لي طوكيو.
31,داير مكالمة تصحيني تمنية و نص صباحا، من فضلك.,داير مكالمة تصحيني ثمانية و نص صباحا، من فضلك.
32,كله تمام. الشارع دا من فضلك. ح اوديك لغرفتك.,كله تمام. الشارع ده من فضلك. حاوديك لي غرفتك.
33,انت عادة بتعمل شنو في البيت بعد العشاء؟,انت عادة بتعمل شنو في البيت بعد العشا؟
34,هل دا صنع آلي ول صنع يدوي؟,هل دا صنع آلي ولا صنع يدوي؟
35,لي اجرتك مخالفة للعداد؟,ليه اجرتك مخالفة للعداد؟
36,نحن بالتأكيد مفروض نرجع سواء تاني.,نحن بالتأكيد مفروض نرجع سوا ثاني.
37,هل الخطوط الجوية ح تدفع لفندقي و تكاليف الوجبة؟,هل الخطوط الجوية حتدفع لي فندقي و تكاليف الوجبة؟
38,تمام، هو غالي. ما مصنوع في اليابان، ول لا؟,تمام، هو غالي. ما مصنوع في اليابان، ولا لأ؟
39,كاش ول شحن؟,كاش ولا شحن؟
40,تمنية دولارات. و بجي واحد أسى.,ثمانية دولارات. و بجي واحد اسي.
41,هل دا مقعد ممر ول مقعد شباك؟,هل ده مقعد ممر ولا مقعد شباك؟
42,ممكن اخد مجلة ول حاجة؟,ممكن اخد مجلة ولا حاجة؟
43,املاح الحمام العشبي بتخلي بشرتك ناعمة و ملساء.,املاح الحمام العشبي بتخلي بشرتك ناعمة و ملسا.
44,من فضلك اديني تلاتة اتنين ستة اتنين تسعة واحد تمنية.,من فضلك اديني ثلاتة اثنين ستة اثنين تسعة واحد ثمانية.
